,repository_name,language
0,app-store-server-library-java,Java
1,app-store-server-library-node,TypeScript
2,app-store-server-library-python,Python
3,app-store-server-library-swift,Swift
4,apple-llvm-infrastructure-tools,C++
5,apple_rules_lint,Starlark
6,ARKitScenes,Python
7,AudioUnit-Examples,Swift
8,AudioUnitSDK,C++
9,axlearn,Python
10,batch-processing-gateway,Java
11,ccs-caldavclientlibrary,HTML
12,ccs-caldavtester,Python
13,ccs-calendarserver,Python
14,ccs-pycalendar,Python
15,ccs-pykerberos,C
16,ccs-pyopendirectory,C++
17,ccs-pyosxframeworks,Python
18,ccs-pysecuretransport,Python
19,ccs-twistedextensions,Python
20,coremltools,Python
21,corenet,Python
22,cups,C
23,darwin-libplatform,C
24,darwin-libpthread,C
25,darwin-xnu,C
26,device-management,
27,dnikit,Python
28,example-package-dealer,Swift
29,example-package-deckofplayingcards,Swift
30,example-package-figlet,Swift
31,example-package-fisheryates,Swift
32,example-package-playingcard,Swift
33,FHIRModels,Swift
34,foundationdb,C++
35,fstools,C
36,game-center-tools,Python
37,GCGC,Jupyter Notebook
38,homebrew-apple,Ruby
39,HomeKitADK,C
40,learning-compressible-subspaces,Python
41,learning-subspaces,Python
42,live-caller-id-lookup-example,Swift
43,llvm-monorepo-root,
44,llvm-project-v5,C++
45,llvm-project-v5-split,C++
46,MaterialX,
47,ml-4m,Python
48,ml-afv,Python
49,ml-agm,Python
50,ml-aim,Python
51,ml-all-pairs,Python
52,ml-ane-transformers,Python
53,ml-aspanformer,Python
54,ml-aura,Python
55,ml-autofocusformer,Python
56,ml-autofocusformer-segmentation,Python
57,ml-batchquant,Python
58,ml-behavioral-testing-for-mt,
59,ml-calibration,Jupyter Notebook
60,ml-capsules-inverted-attention-routing,Python
61,ml-cifar-10-faster,Python
62,ml-code-switched-speech-translation,Python
63,ml-codeswitching-translations,
64,ml-collegial-ensembles,Python
65,ml-core,Python
66,ml-covid-mobility,R
67,ml-cread,Python
68,ml-cvnets,Python
69,ml-cvpr2019-swd,Python
70,ml-dab,Python
71,ml-data-parameters,Python
72,ml-delphi,
73,ml-destseg,Python
74,ml-diffusion-alignment-gflownet,Python
75,ml-direct2.5,Python
76,ml-dms-dataset,Python
77,ml-dprecs,Jupyter Notebook
78,ml-dr,Python
79,ml-duet,Python
80,ml-entity-deduction-arena,Python
81,ml-entropy-reconstruction,Python
82,ml-envmapnet,Python
83,ml-equivariant-neural-rendering,Jupyter Notebook
84,ml-facelit,Python
85,ml-famae,Python
86,ml-fastvit,Python
87,ml-fct,Python
88,ml-ferret,Python
89,ml-finerecon,Python
90,ml-flair,Jupyter Notebook
91,ml-gaudi,
92,ml-gendered-translation,Ruby
93,ml-gmpi,Python
94,ml-gsn,Python
95,ml-hd-gist,Python
96,ml-heart-rate-models,Python
97,ml-hierarchical-confusion-matrix,TypeScript
98,ml-hugs,Python
99,ml-hypersim,Python
100,ml-interspeech2022-phi_rtn,
101,ml-jointnet,Python
102,ml-key-retrieval-code-tasks,Python
103,ml-keyframer,JavaScript
104,ml-kge,Python
105,ml-knowledge-conflicts,Python
106,ml-live-pose,
107,ml-llarp,Python
108,ml-lucid-datagen,Python
109,ml-mdm,Python
110,ml-mgie,Python
111,ml-mia-bench,Jupyter Notebook
112,ml-MixupMP,Python
113,ml-mkqa,Python
114,ml-mobileclip,Python
115,ml-mobileone,Swift
116,ml-mofi,Python
117,ml-multiple-futures-prediction,Python
118,ml-mycelium,JavaScript
119,ml-ncg,Python
120,ml-neilf,Python
121,ml-neilfpp,Python
122,ml-neuman,Python
123,ml-no-token-left-behind,Jupyter Notebook
124,ml-np-rasp,Python
125,ml-nvas3d,Python
126,ml-ogen,Python
127,ml-pgdvs,Python
128,ml-planner,Python
129,ml-pointconvformer,Python
130,ml-pointersect,Python
131,ml-probabilistic-attention,Python
132,ml-projunit,Python
133,ml-qrecc,Python
134,ml-quant,Python
135,ml-recurrent-drafter,Python
136,ml-reed,Python
137,ml-rlgrad,Python
138,ml-robust-expert-augmentations,Python
139,ml-rpm-bench,Python
140,ml-sad,Python
141,ml-sampleplan,Python
142,ml-selfcond,Python
143,ml-shuffling-amplification,Python
144,ml-sigma-reparam,Python
145,ml-sigmoid-attention,Python
146,ml-slowfast-llava,Python
147,ml-spatial-librispeech,
148,ml-spin,Python
149,ml-stable-diffusion,Python
150,ml-stabledreamer,
151,ml-stuttering-events-dataset,Python
152,ml-superposition-prompting,Python
153,ml-symphony,Svelte
154,ml-tic-clip,Python
155,ml-toad,Python
156,ml-tract,Python
157,ml-transcript-translation-consistency-ratings,
158,ml-translate-vis,TypeScript
159,ml-tree-dst,Python
160,ml-tune-mode-convbn,Python
161,ml-tweak,Python
162,ml-upscale,Jupyter Notebook
163,ml-uwac,Python
164,ml-veclip,Jupyter Notebook
165,ml-vfi-smiff,Python
166,ml-vfm-kt,
167,ml-vision-transformers-ane,Python
168,music-feed-examples,Java
169,openjdk,Java
170,password-manager-resources,JavaScript
171,pfl-research,Jupyter Notebook
172,pkl,Java
173,pkl-evolution,
174,pkl-go,Go
175,pkl-go-examples,Go
176,pkl-intellij,Kotlin
177,pkl-jvm-examples,Groovy
178,pkl-k8s,Pkl
179,pkl-k8s-examples,
180,pkl-lang.org,JavaScript
181,pkl-lsp,Kotlin
182,pkl-neovim,Scheme
183,pkl-package-docs,Kotlin
184,pkl-pantry,Pkl
185,pkl-project-commons,
186,pkl-spring,Java
187,pkl-swift,Swift
188,pkl-swift-examples,Swift
189,pkl-vscode,TypeScript
190,pkl.tmbundle,
191,pytorch-speech-features,Python
192,rules_pkl,Starlark
193,sample-backyard-birds,Swift
194,sample-cloudkit-coredatasync,Swift
195,sample-cloudkit-encryption,Swift
196,sample-cloudkit-privatedb,Swift
197,sample-cloudkit-privatedb-sync,Swift
198,sample-cloudkit-queries,Swift
199,sample-cloudkit-sharing,Swift
200,sample-cloudkit-sync-engine,Swift
201,sample-cloudkit-tooling,JavaScript
202,sample-cloudkit-zonesharing,Swift
203,sample-food-truck,Swift
204,servicetalk,Java
205,swift-3-api-guidelines-review,Swift
206,swift-algorithms,Swift
207,swift-aoc-starter-example,Swift
208,swift-argument-parser,Swift
209,swift-asn1,Swift
210,swift-async-algorithms,Swift
211,swift-async-dns-resolver,Swift
212,swift-atomics,Swift
213,swift-cassandra-client,Swift
214,swift-certificates,Swift
215,swift-clang,C++
216,swift-clang-tools-extra,C++
217,swift-cluster-membership,Swift
218,swift-cmake-examples,CMake
219,swift-collections,Swift
220,swift-collections-benchmark,Swift
221,swift-compiler-rt,C
222,swift-corelibs-foundation,C
223,swift-corelibs-libdispatch,C
224,swift-crypto,C
225,swift-distributed-actors,Swift
226,swift-distributed-tracing,Swift
227,swift-distributed-tracing-baggage-core,Swift
228,swift-distributed-tracing-extras,Swift
229,swift-embedded-examples,Swift
230,swift-evolution-staging,Swift
231,swift-for-wasm-examples,Swift
232,swift-foundation,Swift
233,swift-foundation-icu,C
234,swift-getting-started-cli,Swift
235,swift-getting-started-package-library,Swift
236,swift-homomorphic-encryption,Swift
237,swift-homomorphic-encryption-protobuf,
238,swift-http-structured-headers,Swift
239,swift-http-types,Swift
240,swift-internals,HTML
241,swift-issues,
242,swift-libcxx,C++
243,swift-llbuild2,Swift
244,swift-lldb,C++
245,swift-llvm,LLVM
246,swift-log,Swift
247,swift-matter-examples,Swift
248,swift-metrics,Swift
249,swift-metrics-extras,Swift
250,swift-migration-guide,Markdown
251,swift-mmio,Swift
252,swift-nio,Swift
253,swift-nio-examples,Swift
254,swift-nio-extras,Swift
255,swift-nio-http2,Swift
256,swift-nio-imap,Swift
257,swift-nio-nghttp2-support,Swift
258,swift-nio-oblivious-http,Swift
259,swift-nio-ssh,Swift
260,swift-nio-ssl,C
261,swift-nio-ssl-support,Swift
262,swift-nio-transport-services,Swift
263,swift-nio-zlib-support,Swift
264,swift-numerics,Swift
265,swift-openapi-generator,Swift
266,swift-openapi-runtime,Swift
267,swift-openapi-urlsession,Swift
268,swift-playdate-examples,Swift
269,swift-protobuf,Swift
270,swift-protobuf-plugin,
271,swift-protobuf-test-conformance,
272,swift-sample-distributed-actors-transport,Swift
273,swift-service-context,Swift
274,swift-service-discovery,Swift
275,swift-standard-library-preview,Swift
276,swift-statsd-client,Swift
277,swift-string-processing-benchmarks,Swift
278,swift-system,Swift
279,swift-tools-support-async,Swift
280,swift-xcode-playground-support,Swift
281,swiftpm-on-llbuild2,Swift
282,tensor-visualizer,Svelte
283,tensorflow_macos,Shell
284,ToolSandbox,Python
285,tree-sitter-pkl,C
286,turicreate,C++
287,unityplugins,C#
288,VideoFlashingReduction,Mathematica
289,vqg-multimodal-assistant,Python
